rep	seqlen	mu	kappa	sd	bias	gc	entropy	dnds	kspec	omega	w_err	mlk	
17	500000	1e-06	4.38357827327	0.213784035599	0.686472123873	0.479085199952	3.87934742055	1.06297368831	true	1.06973	-0.00635604791365	4.38357827327
18	500000	1e-06	4.33466675412	2.86374691787	0.377369685259	0.309308246571	2.66648396537	0.257268394689	free	0.244615	0.0491836344843	3.80738
18	500000	1e-06	4.33466675412	2.86374691787	0.377369685259	0.309308246571	2.66648396537	0.257268394689	true	0.252836	0.0172286793879	4.33466675412
19	500000	1e-06	4.92614574702	2.69730486287	1.32597384402	0.393579310637	1.69357832771	0.41715704677	free	0.486918	-0.167229473336	10.5953
19	500000	1e-06	4.92614574702	2.69730486287	1.32597384402	0.393579310637	1.69357832771	0.41715704677	true	0.420614	-0.00828693475686	4.92614574702
2	500000	1e-06	5.56475532921	1.24321612804	1.53400825929	0.462393279787	2.76870231978	0.975551338353	free	0.953281	0.0228284637386	4.40193
2	500000	1e-06	5.56475532921	1.24321612804	1.53400825929	0.462393279787	2.76870231978	0.975551338353	true	0.985236	-0.00992737262156	5.56475532921
20	500000	1e-06	1.56033356158	3.09795903177	0.273435011729	0.602490611474	2.74202955826	0.257422496291	free	0.248362	0.0351969871399	1.23926
20	500000	1e-06	1.56033356158	3.09795903177	0.273435011729	0.602490611474	2.74202955826	0.257422496291	true	0.256868	0.00215403198817	1.56033356158
21	500000	1e-06	2.11515150137	0.353259267191	0.0927405090751	0.514989647721	4.05665747625	0.958691903172	free	0.956907	0.0018618110431	2.13858
21	500000	1e-06	2.11515150137	0.353259267191	0.0927405090751	0.514989647721	4.05665747625	0.958691903172	true	0.955078	0.00376961895714	2.11515150137
22	500000	1e-06	2.53934874967	2.68626570605	1.93357578781	0.355775530295	2.11523692581	1.53562994584	free	1.73452	-0.129516915646	3.94119
22	500000	1e-06	2.53934874967	2.68626570605	1.93357578781	0.355775530295	2.11523692581	1.53562994584	true	1.5351	0.000345099964918	2.53934874967
23	500000	1e-06	2.55916557175	0.853618214789	0.466476159432	0.572042962124	3.65373127437	0.769412256308	free	0.756921	0.0162348028711	2.32303
23	500000	1e-06	2.55916557175	0.853618214789	0.466476159432	0.572042962124	3.65373127437	0.769412256308	true	0.76601	0.00442188992944	2.55916557175
24	500000	1e-06	4.57791142575	1.50693394115	0.437243282551	0.387048742353	3.32488296037	0.55993621051	free	0.531116	0.0514705246228	3.54525
24	500000	1e-06	4.57791142575	1.50693394115	0.437243282551	0.387048742353	3.32488296037	0.55993621051	true	0.55275	0.0128339806845	4.57791142575
25	500000	1e-06	4.84713127719	0.355352321914	0.372814192182	0.485321362454	4.01077195626	0.990896337814	free	1.00454	-0.0137690106074	4.87414
25	500000	1e-06	4.84713127719	0.355352321914	0.372814192182	0.485321362454	4.01077195626	0.990896337814	true	1.00373	-0.0129515688942	4.84713127719
26	500000	1e-06	1.04701674293	2.15851142637	0.914034200339	0.482209354602	2.68279584908	0.443595148516	free	0.466501	-0.0516368394927	1.1817
26	500000	1e-06	1.04701674293	2.15851142637	0.914034200339	0.482209354602	2.68279584908	0.443595148516	true	0.445226	-0.003676441208	1.04701674293
27	500000	1e-06	2.12534107099	3.77558849038	0.22044891296	0.3413784645	2.26251130029	0.0563544166149	free	0.0540369	0.0411239571641	2.08614
27	500000	1e-06	2.12534107099	3.77558849038	0.22044891296	0.3413784645	2.26251130029	0.0563544166149	true	0.0541286	0.0394967555088	2.12534107099
28	500000	1e-06	5.52349500492	0.392174211996	0.789082046867	0.491994359054	3.74035524611	1.05960359826	free	1.05427	0.00503357885283	5.29163
28	500000	1e-06	5.52349500492	0.392174211996	0.789082046867	0.491994359054	3.74035524611	1.05960359826	true	1.06152	-0.00180860251752	5.52349500492
